X,rep,seed,F3,ordered_primitive_signed_total,ordered_primitive_abs_mass,triple_top1_abs_share,triple_top5_abs_share,triple_top10_abs_share,triple_participation_ratio,max_load,rows_K_ge_3
128,63,732380063,78.0,21.829419662764252,128.50925777595123,0.04605157941954198,0.22881142055501297,0.4541165002569008,36.915222838093904,3.0,13.0
256,0,733660000,138.0,35.7430329766946,225.10698712228927,0.04560958720308078,0.15113946038096288,0.28093872825440075,62.137558985583276,4.0,17.0
256,1,733660001,126.0,16.894023862989524,223.41201438075717,0.026495716753819246,0.13182639001943117,0.26214191559453787,69.66111134575463,3.0,21.0
256,2,733660002,120.0,26.86431170533313,202.7656238813186,0.029467241760032323,0.1452209210729171,0.28884823508621627,60.71553524225436,3.0,20.0
256,3,733660003,90.0,-10.592199225739593,181.15437198031995,0.032796685851354514,0.1619470366386583,0.3189601905981266,65.54231852575023,3.0,15.0
256,4,733660004,102.0,-14.477338872132304,204.69709031337865,0.055458956702353825,0.17106380127906876,0.31225487913628924,66.0008518173021,3.0,17.0
256,5,733660005,126.0,28.481960925679576,215.82569002742898,0.027635423546020915,0.1376999192950837,0.27432383082661477,63.89482683097078,4.0,18.0
256,6,733660006,126.0,15.591656750727676,227.327233076276,0.026243128429855548,0.13045396790991978,0.2599277329549727,70.06082377388859,4.0,18.0
256,7,733660007,90.0,-15.888469564439477,187.9713890120752,0.03171465618373723,0.15742443377317314,0.31195414220107137,67.65048918575228,4.0,12.0
256,8,733660008,90.0,-11.31570442642571,182.0591666118204,0.03273840491750234,0.16214164580872134,0.3205662874490429,64.93043101963461,3.0,15.0
256,9,733660009,138.0,21.6350458086393,242.84693759347581,0.0437082183656739,0.14117087158481254,0.26163353683797863,69.37173726853553,4.0,20.0
256,10,733660010,150.0,42.32164749933732,243.1845335896122,0.02438437138178315,0.12147031205043189,0.24190345006399525,70.28388102835045,4.0,22.0
256,11,733660011,84.0,-13.061398157385867,174.55957013696244,0.06361704394231579,0.19832242316663062,0.36506418292881565,55.728827454536855,3.0,14.0
